,entryOwnerText_l
231,"[('capitolo', 100), ('di', 100), ('san', 100)]"
232,"[('capitolo', 100), ('di', 100), ('san', 100)]"
233,"[('capitolo', 100), ('di', 100), ('san', 100)]"
234,"[('capitolo', 100), ('di', 100), ('san', 100)]"
235,"[('capitolo', 100), ('di', 100), ('san', 100)]"
236,"[('capitolo', 100), ('di', 100), ('san', 100)]"
237,"[('albertini', 100), ('battistini', 54), ('bristolani', 49)]"
238,"[('capitolo', 100), ('di', 100), ('san', 100)]"
239,"[('capitolo', 100), ('di', 100), ('san', 100)]"
240,"[('capitolo', 100), ('di', 100), ('san', 100)]"
241,"[('capitolo', 100), ('di', 100), ('san', 100)]"
242,"[('capitolo', 100), ('di', 100), ('san', 100)]"
243,"[('di', 100), ('san', 100), ('giovannino', 46)]"
244,"[('di', 100), ('san', 100), ('giovannino', 46)]"
245,"[('scola', 100), ('della', 100), ('dalla scala', 64)]"
246,"[('bernardo', 100), ('bernardini', 69), ('de micheli', 62)]"
247,"[('di', 100), ('san', 100), ('giovannino', 46)]"
248,"[('di', 100), ('san', 100), ('giovannino', 46)]"
249,"[('pizzamano', 100), ('zuanne', 100), ('mazzamano', 42)]"
250,"[('capitolo', 100), ('di', 100), ('san', 100)]"
251,"[('malipiero', 64), ('baroncello', 61), ('malimpiero', 61)]"
252,"[('capitolo', 100), ('di', 100), ('san', 100)]"
253,"[('gradenigo', 100), ('orologio', 64), ('tolonigo', 64)]"
254,"[('balbi', 100), ('zaccaria', 100), ('de lorenzo', 82)]"
255,"[('pizzamano', 100), ('corner', 100), ('zuanne', 100)]"
256,"[('salamon', 100), ('girolamo', 61), ('giacomazzi', 56)]"
257,"[('bonfandini gritti', 74), ('bonfadini', 62), ('francesconi', 58)]"
258,"[('santo', 100), ('di', 100), ('monastero', 100)]"
259,"[('pisani', 100), ('cipriani', 67), ('chiaraba', 67)]"
260,"[('pisani', 100), ('cipriani', 67), ('chiaraba', 67)]"
261,"[('francesconi', 53), ('franceschini', 51), ('franceschi', 49)]"
262,"[('boncio', 100), ('dalle boccole', 47), ('locatellii', 45)]"
263,"[('boncio', 100), ('antonini', 73), ('santonini', 70)]"
264,"[('boncio', 100), ('boncili', 55), ('bonacini', 52)]"
265,"[('francesconi', 43), ('franceschini', 43), ('dalla frascada', 41)]"
