,entryTenantText_l
860,"('pellegrini', 100)"
861,"('antonini', 70)"
862,"('cattari', 58)"
863,"('perisinoto', 56)"
864,"('zamboni', 100)"
865,"('giovannino', 62)"
866,"('francescheti', 71)"
867,"('casaluna', 58)"
868,"('francesconi', 71)"
869,"('anna', 100)"
870,"('zamboni', 100)"
871,"('francesconi', 69)"
872,"('giovannino', 53)"
873,"('delle', 100)"
874,"('roncan', 100)"
875,"('giovannino', 53)"
876,"('cattari', 64)"
877,"('calvi', 100)"
878,"('cadorin', 54)"
879,"('catterina', 55)"
880,"('battistini', 57)"
881,"('rizzardi', 100)"
882,"('de zanelli', 64)"
883,"('rossi', 100)"
884,"('roncan', 100)"
885,"('arca', 100)"
886,"('franchi', 100)"
887,"('comizzioli', 62)"
888,"('vazzola', 57)"
889,"('battistiol', 56)"
890,"('vidali', 100)"
891,"('marchetti', 100)"
892,"('fiorini', 67)"
893,"('rota', 100)"
894,"('salamon', 100)"
895,"('antonelli', 64)"
896,"('mariani', 100)"
897,"('domenici', 67)"
898,"('piazza', 100)"
899,"('piero', 100)"
900,"('battistini', 72)"
901,"('mainardi', 100)"
902,"('bastesini', 64)"
903,"('bastesini', 64)"
904,"('marini', 100)"
905,"('francesconi', 71)"
906,"('battistini', 54)"
907,"('zuanne', 100)"
908,"('agostini', 73)"
909,"('alesandri', 62)"
910,"('antoniassi', 77)"
911,"('zane', 100)"
912,"('tomasi', 100)"
913,"('gasperoli', 58)"
914,"('marsari', 67)"
915,"('martinelli', 100)"
916,"('pedrochi', 100)"
917,"('battistini', 59)"
918,"('vida', 100)"
919,"('nani', 86)"
920,"('gabriel', 100)"
921,"('carnio', 100)"
922,"('bernardo', 100)"
923,"('nicoletti', 64)"
924,"('lunarda', 67)"
925,"('bernardi', 100)"
926,"('fabris', 100)"
927,"('giuradelli', 62)"
928,"('antonini', 61)"
929,"('grandis', 100)"
930,"('michiel', 100)"
931,"('ferrari', 100)"
932,"('zuanne', 100)"
933,"('foresti', 100)"
934,"('bortoloto', 72)"
935,"('nardi', 100)"
936,"('comizzioli', 62)"
937,"('comizzioli', 62)"
938,"('andreato', 64)"
939,"('bernardo', 100)"
940,"('tagliapietra', 54)"
941,"('zuanne', 100)"
942,"('nicola', 100)"
943,"('nicola', 100)"
944,"('de', 100)"
945,"('andreghetti', 64)"
946,"('michiel', 100)"
947,"('perosa', 100)"
948,"('picini', 100)"
949,"('battistini', 57)"
950,"('de portico', 61)"
951,"('perini', 100)"
952,"('olini', 100)"
953,"('coletti', 100)"
954,"('rota', 100)"
955,"('rota', 100)"
956,"('canton', 100)"
957,"('piero', 100)"
958,"('giustiniano', 62)"
959,"('canton', 100)"
960,"('rota', 100)"
961,"('nani', 86)"
962,"('pinaffo', 59)"
963,"('bastian', 100)"
964,"('di', 100)"
965,"('de lorenzo', 82)"
966,"('rossi', 100)"
967,"('fradellini', 69)"
968,"('vecchia', 57)"
969,"('antonini', 67)"
970,"('fradellini', 69)"
971,"('dal', 100)"
972,"('giorgeto', 60)"
973,"('andreghetti', 64)"
974,"('gottoni', 100)"
975,"('antoni', 60)"
976,"('piacentini', 62)"
977,"('battistiol', 52)"
978,"('assonica', 64)"
979,"('vicentini', 62)"
980,"('savorgnian', 67)"
981,"('balandan', 100)"
982,"('giovannino', 80)"
983,"('ughi', 100)"
984,"('giovannino', 54)"
985,"('girardi', 100)"
986,"('lio', 100)"
987,"('franceschi', 100)"
988,"('silva', 100)"
989,"('piero', 100)"
990,"('aurelii', 55)"
991,"('bucella', 100)"
992,"('pisoni', 100)"
993,"('aurelii', 55)"
994,"('aurelii', 55)"
995,"('rinaldi', 100)"
996,"('zorzi', 100)"
997,"('piero', 100)"
998,"('nani', 86)"
999,"('nani', 86)"
1000,"('nani', 86)"
1001,"('nani', 86)"
1002,"('rota', 100)"
1003,"('piacentini', 62)"
1004,"('giorgeto', 55)"
1005,"('orsini', 100)"
1006,"('francesconi', 69)"
1007,"('nani', 86)"
1008,"('battistini', 53)"
1009,"('battistini', 53)"
1010,"('antonelli', 67)"
1011,"('carlo', 100)"
1012,"('antonelli', 67)"
1013,"('de lorenzo', 82)"
1014,"('zorzi', 100)"
1015,"('stefani', 100)"
1016,"('rocco', 100)"
1017,"('michiel', 100)"
1018,"('galizzi', 100)"
1019,"('zuliani', 100)"
1020,"('ferri', 100)"
1021,"('giacomazzi', 70)"
1022,"('pinaffo', 59)"
1023,"('redolfi', 100)"
1024,"('morandini', 100)"
1025,"('alessandrini', 71)"
1026,"('orsini', 100)"
1027,"('orsini', 100)"
