Names,Names
RODER,2
ROGGIA,2
SANGIAN,2
BISCUCHIA,2
SANSONI,2
SANTI,2
BISCUCCIA,2
VERSORI,2
SANZONIO,2
SAONER,2
SASSAE,2
BINETTI,2
BIANCONI,2
SBUTEGA,2
SCACHI,2
AZEO,2
SCALA,2
SANFEROMO,2
SANDRINELLI,2
VESCOVADO,2
BONAMIN,2
VICENTINI,2
ROMANELLO,2
ROMBENCHI,2
ROMBIASI,2
ROMIERI,2
BONE,2
AZAMAR,2
VESSIL,2
ROZINATO,2
RUBERTI,2
RUGGIA,2
RUMIERI,2
SALCE,2
SALLA,2
FIRINKRANZ,2
LOCALI,2
DATOSCHI,2
GUIDONI,2
CURTI,2
FACINI,2
FORTUNATI,2
CUTI,2
GARLATA,2
GOZZI,2
FRIZELE,2
FILIPPINI,2
GRADENIGA,2
FACI,2
DONADA,2
EDGCOMBE,2
GASPARONI,2
LETIZZE,2
FORMENTELLO,2
LEON,2
LUGARA,2
GANDON,2
FURNONI,2
FURIANA,2
LEANDRI,2
GONZATO,2
LUCCIADELLI,2
LUCCHESI,2
GHIGI,2
CRUCIJ,2
FURIAN,2
GUISTINIANI,2
LUCCATELLO,2
LISCHIUTA,2
CROZZOLA,2
FAGHERASSI,2
FERRACINA,2
DOMESTICI,2
GUERINO,2
DIAN,2
DALMASCHIO,2
FABBRIS,2
LODOVICI,2
GAVARDINA,2
GROSSATO,2
FRANCO,2
DI,2
DOMENI,2
GRIVI,2
LIPAMANO,2
DIAMANTINI,2
GAVERNISI,2
GAVAZZI,2
FRANZINI,2
LOI,2
DISSERA,2
EREDI,2
FREA,2
GERLINI,2
LONGHI,2
GAUDIO,2
DALACQUA,2
DOLCETA,2
GRECI,2
GERVASONI,2
DOLCETTA,2
GASTALDI,2
FAVORITO,2
DOLZE,2
GUAZZO,2
GRAPUTO,2
DARIZZO,2
LECOLI,2
DALEZZE,2
GIUPONI,2
GABRINI,2
DEGLI,2
LATIS,2
GIANINI,2
GAMBELLO,2
MAINO,2
FIOLETTI,2
FOGAROLI,2
GIULIANO,2
LACCIADELLI,2
MAFFIOLETI,2
DEGRANDI,2
IACOUR,2
FOGACIA,2
MAFFIOLETTI,2
GAMBARA,2
MAGNANIN,2
DELAI,2
IMBERTI,2
INSON,2
GAGIETA,2
DEBEI,2
MAIFETTE,2
DELOTTO,2
FLORIO,2
CRIVILIER,2
GAGIO,2
DUPRE,2
LUNIGO,2
FALIVA,2
COSSATI,2
GALLIU,2
GABELLA,2
DONDIOROLOGIO,2
GALLINO,2
FANNIO,2
GIURICH,2
GABIATI,2
FANTINI,2
DONDIROLOGIO,2
LUISELLI,2
FONTE,2
DONDIROLOGLIO,2
DOTTORI,2
GIUPPONI,2
LUZZANA,2
FINASSI,2
GIACOMAZZI,2
BATTISTIOL,1
GAMBA,1
SOPERCHI,1
TARTAGIA,1
BELLINI,1
TENESCHI,1
GAVAN,1
BARTOLINI,1
GAVANDI,1
BELLAVITA,1
BEGNIA,1
SPANDRI,1
SORNAZO,1
SOPRANA,1
TARUZZELLI,1
BARTOLI,1
TASSINI,1
GAVARDO,1
TASSO,1
SORDINA,1
TARABOTO,1
SORBOLA,1
FABRIIS,1
FAGIOTO,1
SORARI,1
SUSSAI,1
SPERANZA,1
TAGHER,1
FAGHERAZZI,1
STORTI,1
BASIDO,1
STRATI,1
GARBATO,1
SUA,1
GARATI,1
GAMBIOSI,1
SPERONI,1
TACCO,1
BASSO,1
BASSINELLO,1
BASILI,1
GAMBILO,1
SUPERCHI,1
BASINELLO,1
TAMBELLI,1
BASTON,1
BATAGGIA,1
STAZIO,1
GATAO,1
TARABOCCHIA,1
SPINAZZI,1
SPINEDA,1
BATTELLA,1
SPIRELLI,1
TAOLIN,1
SPIRITO,1
BASILOCO,1
SPONZA,1
SQUADRONI,1
SQUARZINA,1
FACHINI,1
BATAJA,1
GARONI,1
SPONGIA,1
SERO,1
SOLFIN,1
ECHAR,1
DUJA,1
GIANDOLINI,1
GIANA,1
SANTONINI,1
GIACUTTI,1
DULI,1
SAPELLA,1
SAPELLI,1
BIRETTI,1
SARTO,1
BIONDETTI,1
GIACCOMETTI,1
SASSI,1
GHEZZI,1
BIGNARDI,1
SATELICO,1
SAVARDINA,1
BIASIUTI,1
BIASETI,1
GHISLANZONI,1
SAVRANO,1
SAYER,1
SAZZI,1
GHINI,1
SCAGGIO,1
GHIDONI,1
GIANOLLA,1
BISSA,1
SANFERMI,1
DUGLIA,1
BOCHI,1
SABIONI,1
SACATO,1
SACCHI,1
SACOGNA,1
SADALI,1
BOCHETTI,1
BOCCHIALI,1
SAISE,1
SALA,1
BOCCACINI,1
SALAROL,1
DOZERA,1
BOCARIN,1
SALERALI,1
SALETI,1
GIATTI,1
SALON,1
SALVADORI,1
GIAPEL,1
BISSONI,1
GIANOTTI,1
SANCHI,1
SANDEI,1
BISSANO,1
SCAGIOLA,1
SCALABRINI,1
GAVAZZENI,1
SIEDEA,1
BEREGAN,1
BERCO,1
ERCOLI,1
SEORDIGLI,1
SERA,1
SERATO,1
BERABO,1
FANETTI,1
SERPE,1
GERLIN,1
BENZI,1
SEVERI,1
SIGNORETI,1
SCALFAROTTO,1
FABRETI,1
SILVIO,1
GENNARO,1
SIMONATO,1
BENETASSO,1
GENERINI,1
GENARO,1
GELMETI,1
SIRMEN,1
GELMA,1
SODARINI,1
BELUVICH,1
SEMINARIO,1
SEMENZIO,1
EPIS,1
SELLE,1
SCALFEROTTO,1
GHEZI,1
BETTIO,1
SCARELLO,1
BETTINI,1
BETTI,1
SCARSELINI,1
SCATIGLIO,1
GHESI,1
GHERO,1
SCHIEVANO,1
BERTERI,1
GHERARDI,1
SCORELLA,1
BERRETTA,1
BERNESAN,1
BERLENDIA,1
BERETELLO,1
GHENO,1
SEGALINI,1
SEGATTI,1
SEGREGO,1
GHENISAGHERO,1
SELES,1
BERETA,1
TERAZZINA,1
CORTINOVIS,1
TERZI,1
VIALI,1
FERRAZINA,1
FOSCARIN,1
VODERINI,1
VOLPATO,1
ANTONETI,1
VOVO,1
WIDDIMAN,1
FERUTTI,1
FORTUNIO,1
WIDMANN,1
XARCOVICH,1
FORNONI,1
ZAGARI,1
ZAMARI,1
ANSAIZIO,1
ZAMBONI,1
ZAMFERMO,1
ANGONIA,1
FORLICHE,1
FORETTI,1
ZAMPIRETI,1
ZANARDELLI,1
ZANARDI,1
ANGARANI,1
ZANATO,1
ZANCATO,1
FILLIPPI,1
VIVIALI,1
FERRARIONI,1
VIUTI,1
ASTASIO,1
VIARO,1
VIATO,1
VICELLI,1
FRACASIETTI,1
FOVEL,1
VIDO,1
VIGENTINI,1
AVANZETTI,1
VILLABRUNA,1
AVANZETI,1
ATTIMIS,1
VINANTI,1
VINCOLI,1
ARME,1
VIO,1
ARTEMISI,1
VIOLIN,1
VIRCOVICH,1
VISCIUTA,1
FERETI,1
ARTELLI,1
FERNICOCINO,1
VISIK,1
VITALBA,1
ARMELINI,1
VITTORE,1
ZANCOLO,1
FORATI,1
ZANENGHI,1
AGAZZI,1
AI,1
ZIUSTO,1
AGOSTINI,1
AGOSTINAZZI,1
ZOCCO,1
ZOCHI,1
ZOGIA,1
ZOLA,1
AGNOLETTI,1
AGNELLETI,1
ZOPETTI,1
FLORIANI,1
FIOLOSSO,1
AIQUISTI,1
ZUANICHI,1
ZUARATA,1
AGAZI,1
ZUCCANI,1
ADAMI,1
ZUCOLI,1
ACQUA,1
ZULIANO,1
ZULLIANI,1
ZUNDAVAL,1
ACERBI,1
FIORIN,1
ZIRON,1
FOCACCIA,1
FONTELAN,1
AMADEI,1
FONTEBASSSO,1
ZANFERMO,1
ZANI,1
ANDREATO,1
ANCILOTTO,1
FONTEBASSO,1
AMOROSI,1
AMBELICOPOLO,1
AMATI,1
AMALTEO,1
ZANONI,1
ZANOVELLO,1
AMA,1
ZIFRA,1
ZAPPA,1
ALOZZI,1
ZARCOLI,1
ZAROTI,1
ZATTI,1
FINO,1
FONSA,1
ZECCHINI,1
ZEFIRI,1
ALESSANDRINI,1
FONDA,1
ALBERONI,1
AVESANI,1
VEVRINI,1
TESORO,1
AVOGADO,1
FUSATO,1
BARBERI,1
FURLANETTO,1
TORRACULI,1
TORSELATO,1
TOSCA,1
TOSDECHINI,1
TRAINA,1
BARAZZUTTI,1
BARATI,1
TRAVERSINI,1
